Company,Email,Phone,Industry,City,Address,Score,Tier,Subject,Body,Email_Sent,Send_Result
ArborTech Inc.,,510-871-8788,Tree Service,Hayward,"1310 Ruus Ln, Hayward 94544",85,HOT,"Clean Truck Check — I'll Be in Hayward This Week","Hi ArborTech team,

Bryan here with NorCal CARB Mobile. I'm running Clean Truck Checks in Hayward this week and noticed you're right on Ruus Ln — I'll be in the area.

If your tree service trucks are diesels over 14,000 lbs, I can come to your yard and knock out compliance testing on-site. Mobile OBD and OVI smoke opacity — no downtime for your crew.

24/7 availability, 363 days a year. Want me to swing by?

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Saunders Tree Service Inc,,925-200-9057,Tree Service,Hayward,"22844 Alice St, Hayward 94541",80,HOT,"Clean Truck Check — I'll Be Near Alice St This Week","Hi Saunders team,

Bryan here with NorCal CARB Mobile. I'm doing Clean Truck Checks in Hayward this week — right by your area on Alice St.

If your tree service rigs are diesels over 14,000 lbs, I can test them on-site at your yard. Mobile OBD and OVI smoke opacity testing, no shop visit needed.

24/7, 363 days a year. Reply here or call me to schedule.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Castillo Tree Service Inc,,510-792-6590,Tree Service,Hayward,"25798 Franklin Ave, Hayward 94544",80,HOT,"Clean Truck Check — In Hayward This Week","Hi Castillo team,

Bryan with NorCal CARB Mobile. I'm in Hayward this week running Clean Truck Checks and I'll be near Franklin Ave.

If your tree service trucks are diesels over 14,000 lbs, I can come to your yard — mobile OBD and OVI smoke opacity, on-site. No hauling trucks anywhere.

24/7, 363 days a year. Let me know if you want me to stop by.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Graham Tree Services Inc,,510-383-9585,Tree Service,San Leandro,"520 Doolittle Dr, San Leandro 94577",80,HOT,"Clean Truck Check — Near Doolittle Dr This Week","Hi Graham team,

Bryan here with NorCal CARB Mobile. I'll be in San Leandro this week doing Clean Truck Checks — right near your location on Doolittle Dr.

If your tree service trucks are diesels over 14,000 lbs, I can test them on-site. Mobile OBD and OVI smoke opacity — your crew keeps working while I handle compliance.

24/7, 363 days a year. Want me to stop by?

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Boyett Concrete Inc,,510-264-9100,Concrete,Hayward,"2404 Tripaldi Way, Hayward 94545",75,HOT,"Clean Truck Check for Your Concrete Fleet — Hayward This Week","Hi Boyett team,

Bryan with NorCal CARB Mobile. I'm in Hayward this week doing Clean Truck Checks and I'll be near Tripaldi Way.

Concrete mixers and haulers over 14,000 lbs need CARB compliance testing. I can come to your yard and do mobile OBD and OVI smoke opacity testing on-site — no downtime for your fleet.

24/7, 363 days a year. Let me know if you want me to stop by.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
"LS Trucking, Inc.",,510-266-5213,Trucking,Hayward,"1774 W Winton Ave, Hayward 94545",75,HOT,"Clean Truck Check — I'll Be on W Winton Ave This Week","Hi LS Trucking team,

Bryan here with NorCal CARB Mobile. I'm running Clean Truck Checks in Hayward this week and I'll be right by W Winton Ave.

If your fleet has diesels over 14,000 lbs, I can test them on-site at your yard. Mobile OBD and OVI smoke opacity — no need to send trucks to a shop.

24/7, 363 days a year. Reply or call to schedule.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Daylight Transport,,800-468-9999,Trucking/LTL,Hayward,"2340 Industrial Pkwy W, Hayward 94545",70,HOT,"Clean Truck Check — At Industrial Pkwy This Week","Hi Daylight Transport team,

Bryan with NorCal CARB Mobile. I'm doing Clean Truck Checks in Hayward this week and I'll be right on Industrial Pkwy W.

For your LTL fleet — diesels over 14,000 lbs need compliance testing. I can come to your terminal and test on-site. Mobile OBD and OVI smoke opacity, no disruption to operations.

24/7, 363 days a year. Let me know if you'd like to schedule.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Baystar Trans Inc,,510-586-9300,Trucking,Hayward,,68,WARM,"Clean Truck Check — Hayward This Week","Hi Baystar Trans team,

Bryan with NorCal CARB Mobile. I'm in Hayward this week running Clean Truck Checks for local fleets.

If your trucks are diesels over 14,000 lbs, I can come to your yard — mobile OBD and OVI smoke opacity testing, on-site. 24/7, 363 days a year.

Want me to stop by?

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Rangel Concrete,,510-292-6207,Concrete,San Lorenzo,,65,WARM,"Clean Truck Check for Your Concrete Fleet — San Lorenzo Area","Hi Rangel Concrete team,

Bryan with NorCal CARB Mobile. I'm in the Hayward/San Lorenzo area this week doing Clean Truck Checks.

Concrete mixers and haulers over 14,000 lbs need CARB compliance testing. I can come to you — mobile OBD and OVI smoke opacity, on-site. 24/7, 363 days.

Let me know if you want me to stop by.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Mag Trucking,,510-782-8801,Trucking,Hayward,,65,WARM,"Clean Truck Check — Hayward This Week","Hi Mag Trucking team,

Bryan with NorCal CARB Mobile. I'm in Hayward this week running Clean Truck Checks.

Diesels over 14,000 lbs? I can come to your yard — mobile OBD and OVI smoke opacity, on-site. 24/7, 363 days.

Want me to stop by?

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Cato's Paving,,510-397-2677,Asphalt/Paving,Hayward,,65,WARM,"Clean Truck Check for Paving Fleet — Hayward This Week","Hi Cato's Paving team,

Bryan with NorCal CARB Mobile. I'm in Hayward this week doing Clean Truck Checks.

Paving trucks, haulers, and equipment over 14,000 lbs need CARB compliance. I can test on-site at your yard — mobile OBD and OVI smoke opacity. 24/7, 363 days.

Let me know if you'd like me to stop by.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Estes Express Lines,,510-635-0165,LTL Freight,San Leandro,,65,WARM,"Clean Truck Check — San Leandro Terminal This Week","Hi Estes Express team,

Bryan with NorCal CARB Mobile. I'm in San Leandro this week doing Clean Truck Checks.

For your LTL fleet — diesels over 14,000 lbs need compliance testing. I can come to your terminal and test on-site. Mobile OBD and OVI smoke opacity, no disruption. 24/7, 363 days.

Want to schedule?

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Saia LTL Freight,,510-347-6890,LTL Freight,San Leandro,,65,WARM,"Clean Truck Check — San Leandro Terminal This Week","Hi Saia team,

Bryan with NorCal CARB Mobile. I'm in San Leandro this week doing Clean Truck Checks for local terminals.

Diesels over 14,000 lbs? I can test on-site at your terminal — mobile OBD and OVI smoke opacity. No need to move trucks off-site. 24/7, 363 days.

Let me know if you'd like to schedule.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
DHE Dependable Highway Express,,510-357-2223,LTL,San Leandro,,65,WARM,"Clean Truck Check — San Leandro This Week","Hi DHE team,

Bryan with NorCal CARB Mobile. I'm in San Leandro this week running Clean Truck Checks.

Your LTL fleet — diesels over 14,000 lbs need compliance testing. I come to your terminal, test on-site. Mobile OBD and OVI smoke opacity. 24/7, 363 days.

Want me to stop by?

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Maguire Tree Care,,650-844-2046,Tree Service,San Carlos,,65,WARM,"Clean Truck Check — Bay Area This Week","Hi Maguire Tree Care team,

Bryan with NorCal CARB Mobile. I'm running Clean Truck Checks in the Bay Area this week.

If your tree service trucks are diesels over 14,000 lbs, I can come to your San Carlos yard — mobile OBD and OVI smoke opacity, on-site. 24/7, 363 days.

Let me know if you want me to stop by.

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
10-4 Tow Of San Leandro,,510-633-2727,HD Towing,San Leandro,,63,WARM,"Clean Truck Check for Your Tow Fleet — San Leandro","Hi 10-4 Tow team,

Bryan with NorCal CARB Mobile. I'm in San Leandro this week doing Clean Truck Checks.

Heavy-duty tow rigs over 14,000 lbs need CARB compliance testing. I can come to your yard — mobile OBD and OVI smoke opacity, on-site. 24/7, 363 days.

Want me to stop by?

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
Roadstar Trucking Inc,,510-487-2404,Trucking,Hayward,,60,WARM,"Clean Truck Check — Hayward This Week","Hi Roadstar team,

Bryan with NorCal CARB Mobile. I'm in Hayward this week doing Clean Truck Checks.

Diesels over 14,000 lbs? I can test on-site at your yard — mobile OBD and OVI smoke opacity. 24/7, 363 days.

Want me to stop by?

Bryan
NorCal CARB Mobile
norcalcarbmobile.com",,
